session_id,attempt,arm,capacity,run_id,device,event_key,validator_rebuild,validator_semantic_identical,event_reports_semantic_identical,generated_events,action_mix,evidence_kind_mix,local_required,local_received,evidence_required,evidence_transfer_complete,core_required,core_inference_complete,core_result_received,core_result_on_time,core_result_on_time_correct,tp,tn,fp,fn,scored,unscored,states,payload_generated_bytes,application_payload_sent_bytes,unique_payload_received_bytes,duplicate_wire_bytes,protocol_framing_bytes,frozen_contract_valid,segment_reconstruction_valid
F12_S03,a02,B,mid,F12_S03_B_mid_a02,,,PASS,true,true,270,"{""H_SUMMARY"":270}","{""summary"":270}",270,270,270,270,0,0,0,0,0,216,54,0,0,270,0,"{""terminal_success_timely"":270}",4423680,4423680,4423680,0,607826,true,true
F12_S03,a02,E,mid,F12_S03_E_mid_a02,,,PASS,true,true,270,"{""H_FULL"":90,""H_SUMMARY"":180}","{""full"":90,""summary"":180}",180,180,270,270,90,90,90,79,79,216,54,0,0,270,0,"{""terminal_success_late"":11,""terminal_success_timely"":259}",14745600,14745600,14745600,0,607719,true,true
F12_S03,a02,A,mid,F12_S03_A_mid_a02,,,PASS,true,true,270,"{""H_NONE"":270}","{""none"":270}",270,270,0,0,0,0,0,0,0,216,54,0,0,270,0,"{""terminal_success_late"":1,""terminal_success_timely"":269}",0,0,0,0,96433,true,true
F12_S03,a02,F,mid,F12_S03_F_mid_a02,,,PASS,true,true,270,"{""H_FULL"":90,""H_SUMMARY"":180}","{""full"":90,""summary"":180}",180,180,270,270,90,90,90,79,79,216,54,0,0,270,0,"{""terminal_success_late"":11,""terminal_success_timely"":259}",14745600,14745600,14745600,0,607719,true,true
F12_S04,a02,D,low,F12_S04_D_low_a02,,,PASS,true,true,270,"{""H_FULL"":66,""H_NONE"":138,""M_SUMMARY"":66}","{""full"":66,""none"":138,""summary"":66}",204,204,132,132,66,66,66,0,0,209,61,0,0,270,0,"{""terminal_success_late"":66,""terminal_success_timely"":204}",9191424,9191424,9191424,0,398784,true,true
F12_S04,a02,E,low,F12_S04_E_low_a02,,,PASS,true,true,270,"{""H_SUMMARY"":270}","{""summary"":270}",270,270,270,270,0,0,0,0,0,209,61,0,0,270,0,"{""terminal_success_timely"":270}",4423680,4423680,4423680,0,607372,true,true
F12_S04,a02,C,low,F12_S04_C_low_a02,,,PASS,true,true,270,"{""H_FULL"":270}","{""full"":270}",0,0,270,270,270,270,270,0,0,209,61,0,0,270,0,"{""terminal_success_late"":270}",35389440,35389440,35389440,0,822387,true,true
F12_S04,a02,F,low,F12_S04_F_low_a02,,,PASS,true,true,270,"{""H_SUMMARY"":270}","{""summary"":270}",270,270,270,270,0,0,0,0,0,209,61,0,0,270,0,"{""terminal_success_timely"":270}",4423680,4423680,4423680,0,607552,true,true
F12_S04,a02,B,low,F12_S04_B_low_a02,,,PASS,true,true,270,"{""H_SUMMARY"":270}","{""summary"":270}",270,270,270,270,0,0,0,0,0,209,61,0,0,270,0,"{""terminal_success_timely"":270}",4423680,4423680,4423680,0,607552,true,true
F12_S04,a02,A,low,F12_S04_A_low_a02,,,PASS,true,true,270,"{""H_NONE"":270}","{""none"":270}",270,270,0,0,0,0,0,0,0,209,61,0,0,270,0,"{""terminal_success_late"":1,""terminal_success_timely"":269}",0,0,0,0,96476,true,true
F12_S04,a02,D,mid,F12_S04_D_mid_a02,,,PASS,true,true,270,"{""H_FULL"":135,""H_NONE"":135}","{""full"":135,""none"":135}",135,135,135,135,135,135,135,0,0,209,61,0,0,270,0,"{""terminal_success_late"":135,""terminal_success_timely"":135}",17694720,17694720,17694720,0,394518,true,true
F12_S04,a02,E,mid,F12_S04_E_mid_a02,,,PASS,true,true,270,"{""H_FULL"":90,""H_SUMMARY"":180}","{""full"":90,""summary"":180}",180,180,270,270,90,90,90,73,73,209,61,0,0,270,0,"{""terminal_success_late"":17,""terminal_success_timely"":253}",14745600,14745600,14745600,0,607447,true,true
F12_S04,a02,C,mid,F12_S04_C_mid_a02,,,PASS,true,true,270,"{""H_FULL"":270}","{""full"":270}",0,0,270,270,270,270,270,0,0,209,61,0,0,270,0,"{""terminal_success_late"":270}",35389440,35389440,35389440,0,555065,true,true
F12_S04,a02,F,mid,F12_S04_F_mid_a02,,,PASS,true,true,270,"{""H_FULL"":90,""H_SUMMARY"":180}","{""full"":90,""summary"":180}",180,180,270,270,90,90,90,76,76,209,61,0,0,270,0,"{""terminal_success_late"":14,""terminal_success_timely"":256}",14745600,14745600,14745600,0,607447,true,true
F12_S04,a02,B,mid,F12_S04_B_mid_a02,,,PASS,true,true,270,"{""H_SUMMARY"":270}","{""summary"":270}",270,270,270,270,0,0,0,0,0,209,61,0,0,270,0,"{""terminal_success_timely"":270}",4423680,4423680,4423680,0,607552,true,true
F12_S04,a02,A,mid,F12_S04_A_mid_a02,,,PASS,true,true,270,"{""H_NONE"":270}","{""none"":270}",270,270,0,0,0,0,0,0,0,209,61,0,0,270,0,"{""terminal_success_timely"":270}",0,0,0,0,96476,true,true
F12_S04,a02,D,high,F12_S04_D_high_a02,,,PASS,true,true,270,"{""H_FULL"":270}","{""full"":270}",0,0,270,270,270,270,270,261,261,209,61,0,0,270,0,"{""terminal_success_late"":9,""terminal_success_timely"":261}",35389440,35389440,35389440,0,608868,true,true
F12_S04,a02,E,high,F12_S04_E_high_a02,,,PASS,true,true,270,"{""H_FULL"":270}","{""full"":270}",0,0,270,270,270,270,270,265,265,209,61,0,0,270,0,"{""terminal_success_late"":5,""terminal_success_timely"":265}",35389440,35389440,35389440,0,608868,true,true
F12_S04,a02,C,high,F12_S04_C_high_a02,,,PASS,true,true,270,"{""H_FULL"":270}","{""full"":270}",0,0,270,270,270,270,270,259,259,209,61,0,0,270,0,"{""terminal_success_late"":11,""terminal_success_timely"":259}",35389440,35389440,35389440,0,608868,true,true
F12_S04,a02,F,high,F12_S04_F_high_a02,,,PASS,true,true,270,"{""H_FULL"":270}","{""full"":270}",0,0,270,270,270,270,270,260,260,209,61,0,0,270,0,"{""terminal_success_late"":10,""terminal_success_timely"":260}",35389440,35389440,35389440,0,608868,true,true
F12_S04,a02,B,high,F12_S04_B_high_a02,,,PASS,true,true,270,"{""H_SUMMARY"":270}","{""summary"":270}",270,270,270,270,0,0,0,0,0,209,61,0,0,270,0,"{""terminal_success_late"":1,""terminal_success_timely"":269}",4423680,4423680,4423680,0,609172,true,true
F12_S04,a02,A,high,F12_S04_A_high_a02,,,PASS,true,true,270,"{""H_NONE"":270}","{""none"":270}",270,270,0,0,0,0,0,0,0,209,61,0,0,270,0,"{""terminal_success_timely"":270}",0,0,0,0,96746,true,true
