session_id,attempt,run_id,method,capacity,overall,check_count,failed_check_count
F12_S07,a02,F12_S07_D_mid_a02,D,mid,PASS,4949,0
F12_S07,a02,F12_S07_E_high_a02,E,high,PASS,4949,0
F12_S07,a02,F12_S07_E_low_a02,E,low,PASS,4949,0
F12_S07,a02,F12_S07_E_mid_a02,E,mid,PASS,4949,0
F12_S07,a02,F12_S07_F_high_a02,F,high,PASS,4949,0
F12_S07,a02,F12_S07_F_low_a02,F,low,PASS,4949,0
F12_S07,a02,F12_S07_F_mid_a02,F,mid,PASS,4949,0
F12_S08,a01,F12_S08_A_high_a01,A,high,PASS,4949,0
F12_S08,a01,F12_S08_A_low_a01,A,low,PASS,4949,0
F12_S08,a01,F12_S08_A_mid_a01,A,mid,PASS,4949,0
F12_S08,a01,F12_S08_B_high_a01,B,high,PASS,4949,0
F12_S08,a01,F12_S08_B_low_a01,B,low,PASS,4949,0
F12_S08,a01,F12_S08_B_mid_a01,B,mid,PASS,4949,0
F12_S08,a01,F12_S08_C_high_a01,C,high,PASS,4949,0
F12_S08,a01,F12_S08_C_low_a01,C,low,PASS,4949,0
F12_S08,a01,F12_S08_C_mid_a01,C,mid,PASS,4949,0
F12_S08,a01,F12_S08_D_high_a01,D,high,PASS,4949,0
F12_S08,a01,F12_S08_D_low_a01,D,low,PASS,4949,0
F12_S08,a01,F12_S08_D_mid_a01,D,mid,PASS,4949,0
F12_S08,a01,F12_S08_E_high_a01,E,high,PASS,4949,0
F12_S08,a01,F12_S08_E_low_a01,E,low,PASS,4949,0
F12_S08,a01,F12_S08_E_mid_a01,E,mid,PASS,4949,0
F12_S08,a01,F12_S08_F_high_a01,F,high,PASS,4949,0
F12_S08,a01,F12_S08_F_low_a01,F,low,PASS,4949,0
F12_S08,a01,F12_S08_F_mid_a01,F,mid,PASS,4949,0
F12_S09,a01,F12_S09_A_high_a01,A,high,PASS,4949,0
F12_S09,a01,F12_S09_A_low_a01,A,low,PASS,4949,0
F12_S09,a01,F12_S09_A_mid_a01,A,mid,PASS,4949,0
F12_S09,a01,F12_S09_B_high_a01,B,high,PASS,4949,0
F12_S09,a01,F12_S09_B_low_a01,B,low,PASS,4949,0
F12_S09,a01,F12_S09_B_mid_a01,B,mid,PASS,4949,0
F12_S09,a01,F12_S09_C_high_a01,C,high,PASS,4949,0
F12_S09,a01,F12_S09_C_low_a01,C,low,PASS,4949,0
F12_S09,a01,F12_S09_C_mid_a01,C,mid,PASS,4949,0
F12_S09,a01,F12_S09_D_high_a01,D,high,PASS,4949,0
F12_S09,a01,F12_S09_D_low_a01,D,low,PASS,4949,0
F12_S09,a01,F12_S09_D_mid_a01,D,mid,PASS,4949,0
F12_S09,a01,F12_S09_E_high_a01,E,high,PASS,4949,0
F12_S09,a01,F12_S09_E_low_a01,E,low,PASS,4949,0
F12_S09,a01,F12_S09_E_mid_a01,E,mid,PASS,4949,0
F12_S09,a01,F12_S09_F_high_a01,F,high,PASS,4949,0
F12_S09,a01,F12_S09_F_low_a01,F,low,PASS,4949,0
F12_S09,a01,F12_S09_F_mid_a01,F,mid,PASS,4949,0
F12_S10,a01,F12_S10_A_high_a01,A,high,PASS,4949,0
F12_S10,a01,F12_S10_A_low_a01,A,low,PASS,4949,0
F12_S10,a01,F12_S10_A_mid_a01,A,mid,PASS,4949,0
F12_S10,a01,F12_S10_B_high_a01,B,high,PASS,4949,0
F12_S10,a01,F12_S10_B_low_a01,B,low,PASS,4949,0
F12_S10,a01,F12_S10_B_mid_a01,B,mid,PASS,4949,0
F12_S10,a01,F12_S10_C_high_a01,C,high,PASS,4949,0
F12_S10,a01,F12_S10_C_low_a01,C,low,PASS,4949,0
F12_S10,a01,F12_S10_C_mid_a01,C,mid,PASS,4949,0
F12_S10,a01,F12_S10_D_high_a01,D,high,PASS,4949,0
F12_S10,a01,F12_S10_D_low_a01,D,low,PASS,4949,0
F12_S10,a01,F12_S10_D_mid_a01,D,mid,PASS,4949,0
F12_S10,a01,F12_S10_E_high_a01,E,high,PASS,4949,0
F12_S10,a01,F12_S10_E_low_a01,E,low,PASS,4949,0
F12_S10,a01,F12_S10_E_mid_a01,E,mid,PASS,4949,0
F12_S10,a01,F12_S10_F_high_a01,F,high,PASS,4949,0
F12_S10,a01,F12_S10_F_low_a01,F,low,PASS,4949,0
F12_S10,a01,F12_S10_F_mid_a01,F,mid,PASS,4949,0
F12_S11,a01,F12_S11_A_high_a01,A,high,PASS,4949,0
F12_S11,a01,F12_S11_A_low_a01,A,low,PASS,4949,0
F12_S11,a01,F12_S11_A_mid_a01,A,mid,PASS,4949,0
F12_S11,a01,F12_S11_B_high_a01,B,high,PASS,4949,0
F12_S11,a01,F12_S11_B_low_a01,B,low,PASS,4949,0
F12_S11,a01,F12_S11_B_mid_a01,B,mid,PASS,4949,0
F12_S11,a01,F12_S11_C_high_a01,C,high,PASS,4949,0
F12_S11,a01,F12_S11_C_low_a01,C,low,PASS,4949,0
F12_S11,a01,F12_S11_C_mid_a01,C,mid,PASS,4949,0
F12_S11,a01,F12_S11_D_high_a01,D,high,PASS,4949,0
F12_S11,a01,F12_S11_D_low_a01,D,low,PASS,4949,0
F12_S11,a01,F12_S11_D_mid_a01,D,mid,PASS,4949,0
F12_S11,a01,F12_S11_E_high_a01,E,high,PASS,4949,0
F12_S11,a01,F12_S11_E_low_a01,E,low,PASS,4949,0
F12_S11,a01,F12_S11_E_mid_a01,E,mid,PASS,4949,0
F12_S11,a01,F12_S11_F_high_a01,F,high,PASS,4949,0
F12_S11,a01,F12_S11_F_low_a01,F,low,PASS,4949,0
F12_S11,a01,F12_S11_F_mid_a01,F,mid,PASS,4949,0
F12_S12,a01,F12_S12_A_high_a01,A,high,PASS,4949,0
F12_S12,a01,F12_S12_A_low_a01,A,low,PASS,4949,0
F12_S12,a01,F12_S12_A_mid_a01,A,mid,PASS,4949,0
F12_S12,a01,F12_S12_B_high_a01,B,high,PASS,4949,0
F12_S12,a01,F12_S12_B_low_a01,B,low,PASS,4949,0
F12_S12,a01,F12_S12_B_mid_a01,B,mid,PASS,4949,0
F12_S12,a01,F12_S12_C_high_a01,C,high,PASS,4949,0
F12_S12,a01,F12_S12_C_low_a01,C,low,PASS,4949,0
F12_S12,a01,F12_S12_C_mid_a01,C,mid,PASS,4949,0
F12_S12,a01,F12_S12_D_high_a01,D,high,PASS,4949,0
F12_S12,a01,F12_S12_D_low_a01,D,low,PASS,4949,0
F12_S12,a01,F12_S12_D_mid_a01,D,mid,PASS,4949,0
F12_S12,a01,F12_S12_E_high_a01,E,high,PASS,4949,0
F12_S12,a01,F12_S12_E_low_a01,E,low,PASS,4949,0
F12_S12,a01,F12_S12_E_mid_a01,E,mid,PASS,4949,0
F12_S12,a01,F12_S12_F_high_a01,F,high,PASS,4949,0
F12_S12,a01,F12_S12_F_low_a01,F,low,PASS,4949,0
F12_S12,a01,F12_S12_F_mid_a01,F,mid,PASS,4949,0
