scope,metric,value,formula,authoritative_source
F12_S05_G_mid_a02,conditional_post_release_on_time,0.9388888888888889,on_time_full_core_results / selected_full_events,F12_S05/attempt_a02/G_mid/raw/probe/*/F12_S05_G_mid_a02/event_ledger.jsonl
F12_S05_G_mid_a02,full_result_return_fraction,1.0,returned_full_core_results / selected_full_events,F12_S05/attempt_a02/G_mid/raw/probe/*/F12_S05_G_mid_a02/event_ledger.jsonl
F12_S05_G_mid_a02,nominal_timely_full_generated_fraction,0.2222222222222222,nominal_on_time_full_core_results / 270,F12_S05/attempt_a02/G_mid/raw/probe/*/F12_S05_G_mid_a02/event_ledger.jsonl
F12_S05_G_mid_a02,eta_attain,0.9388888888888889,timely_full_generated_fraction / frontier_fraction,F12_S05/attempt_a02/G_mid/raw/probe/*/F12_S05_G_mid_a02/event_ledger.jsonl
F12_S05_G_high_a01,timely_full_generated_fraction,0.9666666666666667,on_time_full_core_results / 270,F12_S05/attempt_a01/G_high/raw/probe/*/F12_S05_G_high_a01/event_ledger.jsonl
F12_S05_G_high_a01,conditional_post_release_on_time,0.9666666666666667,on_time_full_core_results / selected_full_events,F12_S05/attempt_a01/G_high/raw/probe/*/F12_S05_G_high_a01/event_ledger.jsonl
F12_S05_G_high_a01,full_result_return_fraction,1.0,returned_full_core_results / selected_full_events,F12_S05/attempt_a01/G_high/raw/probe/*/F12_S05_G_high_a01/event_ledger.jsonl
F12_S05_G_high_a01,nominal_timely_full_generated_fraction,0.3333333333333333,nominal_on_time_full_core_results / 270,F12_S05/attempt_a01/G_high/raw/probe/*/F12_S05_G_high_a01/event_ledger.jsonl
F12_S05_G_high_a01,eta_attain,0.9666666666666667,timely_full_generated_fraction / frontier_fraction,F12_S05/attempt_a01/G_high/raw/probe/*/F12_S05_G_high_a01/event_ledger.jsonl
F12_S06_G_low_a02,timely_full_generated_fraction,0.29259259259259257,on_time_full_core_results / 270,F12_S06/attempt_a02/G_low/raw/probe/*/F12_S06_G_low_a02/event_ledger.jsonl
F12_S06_G_low_a02,conditional_post_release_on_time,0.8777777777777778,on_time_full_core_results / selected_full_events,F12_S06/attempt_a02/G_low/raw/probe/*/F12_S06_G_low_a02/event_ledger.jsonl
F12_S06_G_low_a02,full_result_return_fraction,1.0,returned_full_core_results / selected_full_events,F12_S06/attempt_a02/G_low/raw/probe/*/F12_S06_G_low_a02/event_ledger.jsonl
F12_S06_G_low_a02,nominal_timely_full_generated_fraction,0.1111111111111111,nominal_on_time_full_core_results / 270,F12_S06/attempt_a02/G_low/raw/probe/*/F12_S06_G_low_a02/event_ledger.jsonl
F12_S06_G_low_a02,eta_attain,0.8777777777777778,timely_full_generated_fraction / frontier_fraction,F12_S06/attempt_a02/G_low/raw/probe/*/F12_S06_G_low_a02/event_ledger.jsonl
F12_S06_G_mid_a01,timely_full_generated_fraction,0.6333333333333333,on_time_full_core_results / 270,F12_S06/attempt_a01/G_mid/raw/probe/*/F12_S06_G_mid_a01/event_ledger.jsonl
F12_S06_G_mid_a01,conditional_post_release_on_time,0.95,on_time_full_core_results / selected_full_events,F12_S06/attempt_a01/G_mid/raw/probe/*/F12_S06_G_mid_a01/event_ledger.jsonl
F12_S06_G_mid_a01,full_result_return_fraction,1.0,returned_full_core_results / selected_full_events,F12_S06/attempt_a01/G_mid/raw/probe/*/F12_S06_G_mid_a01/event_ledger.jsonl
F12_S06_G_mid_a01,nominal_timely_full_generated_fraction,0.2222222222222222,nominal_on_time_full_core_results / 270,F12_S06/attempt_a01/G_mid/raw/probe/*/F12_S06_G_mid_a01/event_ledger.jsonl
F12_S06_G_mid_a01,eta_attain,0.95,timely_full_generated_fraction / frontier_fraction,F12_S06/attempt_a01/G_mid/raw/probe/*/F12_S06_G_mid_a01/event_ledger.jsonl
F12_S06_G_high_a02,timely_full_generated_fraction,0.9851851851851852,on_time_full_core_results / 270,F12_S06/attempt_a02/G_high/raw/probe/*/F12_S06_G_high_a02/event_ledger.jsonl
F12_S06_G_high_a02,conditional_post_release_on_time,0.9851851851851852,on_time_full_core_results / selected_full_events,F12_S06/attempt_a02/G_high/raw/probe/*/F12_S06_G_high_a02/event_ledger.jsonl
F12_S06_G_high_a02,full_result_return_fraction,1.0,returned_full_core_results / selected_full_events,F12_S06/attempt_a02/G_high/raw/probe/*/F12_S06_G_high_a02/event_ledger.jsonl
F12_S06_G_high_a02,nominal_timely_full_generated_fraction,0.3333333333333333,nominal_on_time_full_core_results / 270,F12_S06/attempt_a02/G_high/raw/probe/*/F12_S06_G_high_a02/event_ledger.jsonl
F12_S06_G_high_a02,eta_attain,0.9851851851851852,timely_full_generated_fraction / frontier_fraction,F12_S06/attempt_a02/G_high/raw/probe/*/F12_S06_G_high_a02/event_ledger.jsonl
F12_S07_G_low_a01,timely_full_generated_fraction,0.3037037037037037,on_time_full_core_results / 270,F12_S07/attempt_a01/G_low/raw/probe/*/F12_S07_G_low_a01/event_ledger.jsonl
F12_S07_G_low_a01,conditional_post_release_on_time,0.9111111111111111,on_time_full_core_results / selected_full_events,F12_S07/attempt_a01/G_low/raw/probe/*/F12_S07_G_low_a01/event_ledger.jsonl
F12_S07_G_low_a01,full_result_return_fraction,1.0,returned_full_core_results / selected_full_events,F12_S07/attempt_a01/G_low/raw/probe/*/F12_S07_G_low_a01/event_ledger.jsonl
F12_S07_G_low_a01,nominal_timely_full_generated_fraction,0.1111111111111111,nominal_on_time_full_core_results / 270,F12_S07/attempt_a01/G_low/raw/probe/*/F12_S07_G_low_a01/event_ledger.jsonl
F12_S07_G_low_a01,eta_attain,0.9111111111111111,timely_full_generated_fraction / frontier_fraction,F12_S07/attempt_a01/G_low/raw/probe/*/F12_S07_G_low_a01/event_ledger.jsonl
F12_S07_G_mid_a02,timely_full_generated_fraction,0.6370370370370371,on_time_full_core_results / 270,F12_S07/attempt_a02/G_mid/raw/probe/*/F12_S07_G_mid_a02/event_ledger.jsonl
F12_S07_G_mid_a02,conditional_post_release_on_time,0.9555555555555556,on_time_full_core_results / selected_full_events,F12_S07/attempt_a02/G_mid/raw/probe/*/F12_S07_G_mid_a02/event_ledger.jsonl
F12_S07_G_mid_a02,full_result_return_fraction,1.0,returned_full_core_results / selected_full_events,F12_S07/attempt_a02/G_mid/raw/probe/*/F12_S07_G_mid_a02/event_ledger.jsonl
F12_S07_G_mid_a02,nominal_timely_full_generated_fraction,0.2222222222222222,nominal_on_time_full_core_results / 270,F12_S07/attempt_a02/G_mid/raw/probe/*/F12_S07_G_mid_a02/event_ledger.jsonl
F12_S07_G_mid_a02,eta_attain,0.9555555555555556,timely_full_generated_fraction / frontier_fraction,F12_S07/attempt_a02/G_mid/raw/probe/*/F12_S07_G_mid_a02/event_ledger.jsonl
F12_S07_G_high_a01,timely_full_generated_fraction,0.9666666666666667,on_time_full_core_results / 270,F12_S07/attempt_a01/G_high/raw/probe/*/F12_S07_G_high_a01/event_ledger.jsonl
F12_S07_G_high_a01,conditional_post_release_on_time,0.9666666666666667,on_time_full_core_results / selected_full_events,F12_S07/attempt_a01/G_high/raw/probe/*/F12_S07_G_high_a01/event_ledger.jsonl
F12_S07_G_high_a01,full_result_return_fraction,1.0,returned_full_core_results / selected_full_events,F12_S07/attempt_a01/G_high/raw/probe/*/F12_S07_G_high_a01/event_ledger.jsonl
F12_S07_G_high_a01,nominal_timely_full_generated_fraction,0.3333333333333333,nominal_on_time_full_core_results / 270,F12_S07/attempt_a01/G_high/raw/probe/*/F12_S07_G_high_a01/event_ledger.jsonl
F12_S07_G_high_a01,eta_attain,0.9666666666666667,timely_full_generated_fraction / frontier_fraction,F12_S07/attempt_a01/G_high/raw/probe/*/F12_S07_G_high_a01/event_ledger.jsonl
F12_S08_G_low_a02,timely_full_generated_fraction,0.3074074074074074,on_time_full_core_results / 270,F12_S08/attempt_a02/G_low/raw/probe/*/F12_S08_G_low_a02/event_ledger.jsonl
F12_S08_G_low_a02,conditional_post_release_on_time,0.9222222222222223,on_time_full_core_results / selected_full_events,F12_S08/attempt_a02/G_low/raw/probe/*/F12_S08_G_low_a02/event_ledger.jsonl
F12_S08_G_low_a02,full_result_return_fraction,1.0,returned_full_core_results / selected_full_events,F12_S08/attempt_a02/G_low/raw/probe/*/F12_S08_G_low_a02/event_ledger.jsonl
F12_S08_G_low_a02,nominal_timely_full_generated_fraction,0.1111111111111111,nominal_on_time_full_core_results / 270,F12_S08/attempt_a02/G_low/raw/probe/*/F12_S08_G_low_a02/event_ledger.jsonl
F12_S08_G_low_a02,eta_attain,0.9222222222222223,timely_full_generated_fraction / frontier_fraction,F12_S08/attempt_a02/G_low/raw/probe/*/F12_S08_G_low_a02/event_ledger.jsonl
F12_S08_G_mid_a02,timely_full_generated_fraction,0.6407407407407407,on_time_full_core_results / 270,F12_S08/attempt_a02/G_mid/raw/probe/*/F12_S08_G_mid_a02/event_ledger.jsonl
F12_S08_G_mid_a02,conditional_post_release_on_time,0.9611111111111111,on_time_full_core_results / selected_full_events,F12_S08/attempt_a02/G_mid/raw/probe/*/F12_S08_G_mid_a02/event_ledger.jsonl
F12_S08_G_mid_a02,full_result_return_fraction,1.0,returned_full_core_results / selected_full_events,F12_S08/attempt_a02/G_mid/raw/probe/*/F12_S08_G_mid_a02/event_ledger.jsonl
F12_S08_G_mid_a02,nominal_timely_full_generated_fraction,0.2222222222222222,nominal_on_time_full_core_results / 270,F12_S08/attempt_a02/G_mid/raw/probe/*/F12_S08_G_mid_a02/event_ledger.jsonl
F12_S08_G_mid_a02,eta_attain,0.9611111111111111,timely_full_generated_fraction / frontier_fraction,F12_S08/attempt_a02/G_mid/raw/probe/*/F12_S08_G_mid_a02/event_ledger.jsonl
F12_S08_G_high_a02,timely_full_generated_fraction,0.9518518518518518,on_time_full_core_results / 270,F12_S08/attempt_a02/G_high/raw/probe/*/F12_S08_G_high_a02/event_ledger.jsonl
F12_S08_G_high_a02,conditional_post_release_on_time,0.9518518518518518,on_time_full_core_results / selected_full_events,F12_S08/attempt_a02/G_high/raw/probe/*/F12_S08_G_high_a02/event_ledger.jsonl
F12_S08_G_high_a02,full_result_return_fraction,1.0,returned_full_core_results / selected_full_events,F12_S08/attempt_a02/G_high/raw/probe/*/F12_S08_G_high_a02/event_ledger.jsonl
F12_S08_G_high_a02,nominal_timely_full_generated_fraction,0.3333333333333333,nominal_on_time_full_core_results / 270,F12_S08/attempt_a02/G_high/raw/probe/*/F12_S08_G_high_a02/event_ledger.jsonl
F12_S08_G_high_a02,eta_attain,0.9518518518518518,timely_full_generated_fraction / frontier_fraction,F12_S08/attempt_a02/G_high/raw/probe/*/F12_S08_G_high_a02/event_ledger.jsonl
F12_S09_G_low_a01,timely_full_generated_fraction,0.3111111111111111,on_time_full_core_results / 270,F12_S09/attempt_a01/G_low/raw/probe/*/F12_S09_G_low_a01/event_ledger.jsonl
F12_S09_G_low_a01,conditional_post_release_on_time,0.9333333333333333,on_time_full_core_results / selected_full_events,F12_S09/attempt_a01/G_low/raw/probe/*/F12_S09_G_low_a01/event_ledger.jsonl
F12_S09_G_low_a01,full_result_return_fraction,1.0,returned_full_core_results / selected_full_events,F12_S09/attempt_a01/G_low/raw/probe/*/F12_S09_G_low_a01/event_ledger.jsonl
F12_S09_G_low_a01,nominal_timely_full_generated_fraction,0.1111111111111111,nominal_on_time_full_core_results / 270,F12_S09/attempt_a01/G_low/raw/probe/*/F12_S09_G_low_a01/event_ledger.jsonl
F12_S09_G_low_a01,eta_attain,0.9333333333333333,timely_full_generated_fraction / frontier_fraction,F12_S09/attempt_a01/G_low/raw/probe/*/F12_S09_G_low_a01/event_ledger.jsonl
F12_S09_G_mid_a02,timely_full_generated_fraction,0.6370370370370371,on_time_full_core_results / 270,F12_S09/attempt_a02/G_mid/raw/probe/*/F12_S09_G_mid_a02/event_ledger.jsonl
F12_S09_G_mid_a02,conditional_post_release_on_time,0.9555555555555556,on_time_full_core_results / selected_full_events,F12_S09/attempt_a02/G_mid/raw/probe/*/F12_S09_G_mid_a02/event_ledger.jsonl
F12_S09_G_mid_a02,full_result_return_fraction,1.0,returned_full_core_results / selected_full_events,F12_S09/attempt_a02/G_mid/raw/probe/*/F12_S09_G_mid_a02/event_ledger.jsonl
F12_S09_G_mid_a02,nominal_timely_full_generated_fraction,0.2222222222222222,nominal_on_time_full_core_results / 270,F12_S09/attempt_a02/G_mid/raw/probe/*/F12_S09_G_mid_a02/event_ledger.jsonl
F12_S09_G_mid_a02,eta_attain,0.9555555555555556,timely_full_generated_fraction / frontier_fraction,F12_S09/attempt_a02/G_mid/raw/probe/*/F12_S09_G_mid_a02/event_ledger.jsonl
F12_S09_G_high_a01,timely_full_generated_fraction,0.9814814814814815,on_time_full_core_results / 270,F12_S09/attempt_a01/G_high/raw/probe/*/F12_S09_G_high_a01/event_ledger.jsonl
F12_S09_G_high_a01,conditional_post_release_on_time,0.9814814814814815,on_time_full_core_results / selected_full_events,F12_S09/attempt_a01/G_high/raw/probe/*/F12_S09_G_high_a01/event_ledger.jsonl
F12_S09_G_high_a01,full_result_return_fraction,1.0,returned_full_core_results / selected_full_events,F12_S09/attempt_a01/G_high/raw/probe/*/F12_S09_G_high_a01/event_ledger.jsonl
