status,session_id,attempt,seed,arm,method,capacity,device,ledger_path,ledger_sha256,measured_events,core_required_events,post_release_results_observed,post_release_on_time_count,post_release_on_time_coverage,nominal_results_observed,nominal_on_time_count,nominal_on_time_coverage,post_release_latency_ms_p50,post_release_latency_ms_p95,post_release_latency_ms_p99,nominal_latency_ms_p50,nominal_latency_ms_p95,nominal_latency_ms_p99,release_lateness_ms_p50,release_lateness_ms_p95,release_lateness_ms_p99
PASS,F12_S01,a01,3668046706,E,central_dpp,high,P3,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/E_high/raw/probe/P3/F12_S01_E_high_a01/event_ledger.jsonl,c9ca63e8f0d252985a2241a798dbe5430b3b92eaecdb3d4429a1d92a75875f44,90,90,90,90,1.0,90,90,1.0,240.5901385,304.37791405,357.77871018999986,328.2574125,417.5786667499999,465.5121407599999,78.54531700000001,144.9334033,150.79506425
PASS,F12_S01,a01,3668046706,F,shielded_dpp,low,P1,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/F_low/raw/probe/P1/F12_S01_F_low_a01/event_ledger.jsonl,a6aa95fb13b818f610c9b9803076858bb507e5b803d6733b1b59ebfde05ad7da,90,0,0,0,,0,0,,,,,,,,1771.7297290000001,1832.4199288,1835.53777252
PASS,F12_S01,a01,3668046706,F,shielded_dpp,low,P2,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/F_low/raw/probe/P2/F12_S01_F_low_a01/event_ledger.jsonl,d6f1bf373bfc2c9f02c64737bbf40a8d2ea57544a2def4fbe14312afa44412f3,90,0,0,0,,0,0,,,,,,,,678.1226099999999,749.6156481,786.49180199
PASS,F12_S01,a01,3668046706,F,shielded_dpp,low,P3,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/F_low/raw/probe/P3/F12_S01_F_low_a01/event_ledger.jsonl,dab1686ecc417052d27566ae990d62e40961b969d6ebe0573c9f590520b1e0d7,90,0,0,0,,0,0,,,,,,,,87.79020249999999,156.69040809999998,162.27326378
PASS,F12_S01,a01,3668046706,F,shielded_dpp,mid,P1,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/F_mid/raw/probe/P1/F12_S01_F_mid_a01/event_ledger.jsonl,c5fd915606465ff833c08240992c1c729d4c44635c5184dd2b90c251cadb18cc,90,30,30,27,0.9,30,0,0.0,966.3093604999999,1018.0299204499998,1146.8146380800001,2902.5409595,2963.93682045,3094.5051253600004,1934.5438155,2160.55802325,2163.69867093
PASS,F12_S01,a01,3668046706,F,shielded_dpp,mid,P2,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/F_mid/raw/probe/P2/F12_S01_F_mid_a01/event_ledger.jsonl,e0e5cdde5a1ab503635ac7f9ba656f55e75b0c1919c662a0b64ab5e113044cc5,90,30,30,30,1.0,30,0,0.0,905.0729564999999,967.90958185,980.4706992700001,1772.564597,1870.06664905,1884.0404429999999,856.393099,964.89395695,967.90723816
PASS,F12_S01,a01,3668046706,F,shielded_dpp,mid,P3,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/F_mid/raw/probe/P3/F12_S01_F_mid_a01/event_ledger.jsonl,c400db393fa84636c1c685c91abadfce4b53bec24ec94095ee05fc80e6ae6128,90,30,30,30,1.0,30,30,1.0,266.06302800000003,338.6681949499999,360.01467461,361.908761,432.3551907,447.76647391,86.3372585,149.75748034999998,155.85421786
PASS,F12_S01,a01,3668046706,F,shielded_dpp,high,P1,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/F_high/raw/probe/P1/F12_S01_F_high_a01/event_ledger.jsonl,82e5191d108bb001f84174d4f6f847d68bcaae10a15f53d77189e3c7b12e7f1e,90,90,90,84,0.9333333333333333,90,0,0.0,925.8773985,1005.8027427,1043.88758027,2899.1168485,2983.9201134500004,3054.9539598300003,1979.2413385,2065.7672998,2070.27047537
PASS,F12_S01,a01,3668046706,F,shielded_dpp,high,P2,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/F_high/raw/probe/P2/F12_S01_F_high_a01/event_ledger.jsonl,0079702907ac93b749de9fb1843ed8cc51dc5ccac8f9896cf08e81c94295d053,90,90,90,85,0.9444444444444444,90,0,0.0,907.837542,1000.71522335,1056.4636567500002,1766.058653,1875.01613795,1920.7001126999999,876.3954265,913.10886625,974.22410069
PASS,F12_S01,a01,3668046706,F,shielded_dpp,high,P3,<AUDIT_ROOT>/extracted_sessions/F12_S01/attempt_a01/F_high/raw/probe/P3/F12_S01_F_high_a01/event_ledger.jsonl,6b3b3e40277235b26a844c80f696b84e3e166dd5e4aca28c9fc7b9800e0d058d,90,90,90,90,1.0,90,90,1.0,255.0393135,326.18564675,378.81285706,335.683541,420.1919396,464.74709406999995,79.6575245,136.0376815,140.8333075
PASS,F12_S02,a01,2668262893,A,fixed_local,low,P1,<AUDIT_ROOT>/extracted_sessions/F12_S02/attempt_a01/A_low/raw/probe/P1/F12_S02_A_low_a01/event_ledger.jsonl,f3297d9238b4711551ab4a5502f3618fc9d136d84c336d3fd2f06700938511d0,90,0,0,0,,0,0,,,,,,,,1886.419978,2021.5856574,2024.05818642
PASS,F12_S02,a01,2668262893,A,fixed_local,low,P2,<AUDIT_ROOT>/extracted_sessions/F12_S02/attempt_a01/A_low/raw/probe/P2/F12_S02_A_low_a01/event_ledger.jsonl,fc4be0cbf515117c39dba25caf064af4ba1ae9716ba2d24d6caa6dbc22c04984,90,0,0,0,,0,0,,,,,,,,593.950955,740.1925799,743.24124094
PASS,F12_S02,a01,2668262893,A,fixed_local,low,P3,<AUDIT_ROOT>/extracted_sessions/F12_S02/attempt_a01/A_low/raw/probe/P3/F12_S02_A_low_a01/event_ledger.jsonl,235892dccfaa8fbcbfa0353ccc70ac7cb40376d80dc92fcc4c6c66bb921b9bef,90,0,0,0,,0,0,,,,,,,,88.151088,164.63265735,171.54345782000001
PASS,F12_S02,a01,2668262893,A,fixed_local,mid,P1,<AUDIT_ROOT>/extracted_sessions/F12_S02/attempt_a01/A_mid/raw/probe/P1/F12_S02_A_mid_a01/event_ledger.jsonl,7e7c611c0544efe6f67ef2e5d1300336fba0834914f722f50d3b804200597232,90,0,0,0,,0,0,,,,,,,,2003.575699,2046.68006075,2051.3964988899997
PASS,F12_S02,a01,2668262893,A,fixed_local,mid,P2,<AUDIT_ROOT>/extracted_sessions/F12_S02/attempt_a01/A_mid/raw/probe/P2/F12_S02_A_mid_a01/event_ledger.jsonl,32fe55fe1386f95ba3eb7864e3bad6eb2e8f407bed573638ed79d2080c0beb6a,90,0,0,0,,0,0,,,,,,,,717.115533,761.0112104,764.06501388
